id,date,asset,liability
23373,9/30/2001,90716,82518
23375,3/31/2001,221592,202713
23375,6/30/2001,236213,218446
23376,12/31/2001,79250,72170
23376,3/31/2001,72025,65682
23376,6/30/2001,72180,65576
23376,9/30/2001,72941,66057
234,12/31/2001,56657,49558
234,3/31/2001,33686,27517
234,6/30/2001,32979,26823
234,9/30/2001,58176,50907
23404,12/31/2001,71535,65903
23404,3/31/2001,67720,62493
23404,6/30/2001,67348,61987
23404,9/30/2001,69459,63899
23406,12/31/2001,1980000,1670000
23406,3/31/2001,1830000,1520000
23406,6/30/2001,1880000,1570000
23406,9/30/2001,1920000,1610000
23410,12/31/2001,111825,103202
23410,3/31/2001,94875,88038
23410,6/30/2001,98346,91196
23410,9/30/2001,105091,96495
23415,12/31/2001,236827,217067
23415,3/31/2001,204257,186408
23415,6/30/2001,212229,193896
23415,9/30/2001,230119,210917
23420,3/31/2001,54152,46085
23420,6/30/2001,56421,51420
23420,9/30/2001,60146,49888
23422,3/31/2001,102902,89902
23422,6/30/2001,107632,94653
23422,9/30/2001,96595,83695
23430,12/31/2001,96185,88104
23430,3/31/2001,94039,85826
23430,6/30/2001,94671,86675
23430,9/30/2001,96022,87991
23431,12/31/2001,75744,68985
23431,3/31/2001,74087,67487
23431,6/30/2001,74578,67788
23431,9/30/2001,71198,64134
23433,12/31/2001,119810,105888
23433,3/31/2001,106618,93765
23433,6/30/2001,106440,93256
23433,9/30/2001,109139,95527
2345,12/31/2001,1430000,1310000
2345,3/31/2001,1360000,1240000
2345,6/30/2001,1370000,1250000
2345,9/30/2001,1380000,1260000
23450,12/31/2001,60538,54644
23450,3/31/2001,60068,55138
23450,6/30/2001,60199,55202
23450,9/30/2001,61122,56051
23453,12/31/2001,118399,109581
23453,3/31/2001,100042,93948
23453,6/30/2001,104914,98577
23453,9/30/2001,109088,100486
23463,12/31/2001,1290000,1180000
23463,3/31/2001,1060000,956174
23463,6/30/2001,1060000,955862
23463,9/30/2001,1090000,974931
23468,12/31/2001,104165,21943
23468,3/31/2001,118850,51721
23468,6/30/2001,101949,28661
23468,9/30/2001,109307,29247
23469,12/31/2001,129609,118505
23469,3/31/2001,118845,108934
23469,6/30/2001,126927,116606
23469,9/30/2001,130179,119344
23470,12/31/2001,235580,220614
23470,3/31/2001,220054,206698
23470,6/30/2001,229655,215976
23470,9/30/2001,225069,210273
23472,12/31/2001,281115,50568
23472,3/31/2001,262317,40585
23472,6/30/2001,266258,40817
23472,9/30/2001,273412,44886
23473,12/31/2001,534940,483208
23473,3/31/2001,536219,485009
23473,6/30/2001,525792,474238
23473,9/30/2001,537423,484990
23474,12/31/2001,903250,835422
23474,3/31/2001,749666,689216
23474,6/30/2001,772285,709529
23474,9/30/2001,809784,742682
23498,12/31/2001,43962,40731
23498,3/31/2001,45880,42443
23498,6/30/2001,46368,43102
23498,9/30/2001,45299,42088
235,12/31/2001,44660,40654
235,3/31/2001,42481,38780
235,6/30/2001,42637,38853
235,9/30/2001,43629,39708
23502,12/31/2001,128176,109888
23502,3/31/2001,108230,90780
23502,6/30/2001,119843,102055
23502,9/30/2001,122738,104699
23523,12/31/2001,81916,73237
23523,3/31/2001,78821,70587
23523,6/30/2001,77744,69535
23523,9/30/2001,77772,69098
